yearID,lgID,numerator,denominator,SLG
2000,AL,42202,78547,0.5372834099329065
2000,NL,46474,88743,0.5236920095106092
2001,AL,40596,78134,0.5195689456574603
2001,NL,45525,88100,0.5167423382519863
2002,NL,43561,87794,0.49617285919311116
2002,AL,40110,77788,0.5156322311924718
2003,NL,44745,88426,0.5060163300386764
2003,AL,40596,78311,0.5183946061217454
2004,NL,45511,88622,0.5135406558190968
2004,AL,41347,78731,0.5251679770357293
2005,AL,40159,78215,0.5134437128428051
2005,NL,44290,88120,0.5026100771674988
2006,NL,46212,88844,0.5201476745756607
2006,AL,41531,78497,0.5290775443647527
2007,AL,40086,78294,0.5119932561882137
2007,NL,45927,89489,0.5132139145593313
2008,AL,39775,78119,0.5091591034191426
2008,NL,44395,88595,0.5011005135730008
2009,NL,43564,87884,0.4956988757908152
2009,AL,40449,77965,0.5188097223112935
2010,AL,38103,77467,0.4918610505118308
2010,NL,42473,87886,0.4832737864961427
2011,NL,41636,88119,0.47249741826393854
2011,AL,38331,77586,0.4940453174541799
2012,AL,38503,77437,0.4972170926043106
2012,NL,42599,87814,0.48510488077071995
2013,NL,38746,82690,0.4685693554238723
2013,AL,40751,83380,0.48873830654833295
2014,NL,38049,82491,0.46125031821653273
2014,AL,39111,83123,0.47051959144881683
2015,NL,39639,82652,0.47958912065043796
2015,AL,41404,82836,0.49983099135641507
2016,NL,41311,82635,0.49992134083620743
2016,AL,42532,82926,0.5128910112630538
2017,AL,43300,83034,0.521473131488306
2017,NL,42514,82533,0.5151151660547902
2018,AL,41927,82710,0.5069157296578406
2018,NL,40500,82722,0.4895916443026039
2019,NL,43703,83094,0.5259465184008473
2019,AL,44857,83557,0.5368431130844813
2020,NL,15071,29399,0.5126364842341576
2020,AL,14953,29631,0.5046404103810199
2021,AL,41061,81337,0.5048256021244943
2021,NL,39938,80604,0.4954840950821299
2022,AL,38864,81816,0.4750171115674196
2022,NL,39480,81649,0.48353317248221045
2023,NL,41603,82094,0.5067727239505933
2023,AL,41300,82324,0.5016763033866187
